priority,stratum,s1_kind,trial,criterion_id,criterion_text,E_label,E_child_n,E_notes,D_label,D_child_n,D_notes,binary_mismatch,span_mismatch,risk_signals,is_72_conflict,tier0_flag
12,S1,resolved,NCT03800134,NCT03800134_E10,Known allergy or hypersensitivity to any of the study drugs or excipients,none,0,,none,0,"allergy or hypersensitivity 를 split하려고 했으나, 그렇게 될 경우 뒤에 있는 any of the study drugs or excipients를 각각 수식으로 붙여야하기때문에 notion에서 정한 가이드라인에 따라 뒤에 수식구조로 하지않고 non-split함.",0,0,enum:or=2,0,
13,S1,resolved,NCT03800134,NCT03800134_E11,Existence of more than one primary tumour such as mixed small cell and NSCLC histology,none,0,,none,0,,0,0,dx:NSCLC; umb:such as,0,
14,S1,resolved,NCT03800134,NCT03800134_I5,"No prior exposure to immune-mediated therapy including, but not limited to, other anti-CTLA-4, anti-PD-1, anti-PD-L1, and anti-PD-L2 antibodies, excluding therapeutic anticancer vaccines",nested_exception,1,,nested_exception,1,,0,0,bm:\bPD-L1; umb:\bincluding\b; enum:commas=6,0,
15,S1,resolved,NCT05756153,NCT05756153_E10,"Pregnant or lactating females, or female patients intend to become pregnant during participation.",composite_split,3,,composite_split,3,,0,0,enum:or=2,0,
16,S4,,NCT01295827,NCT01295827_E2,"Participation in a study of an investigational agent or using an investigational device within 30 days of administration of pembrolizumab, with the exception of participants in the follow-up phase.",nested_exception,1,,nested_exception,1,,0,0,,0,
17,S4,,NCT01295827,NCT01295827_E8,Active central nervous system (CNS) metastases and/or carcinomatous meningitis.,composite_split,2,,composite_split,2,,0,0,,0,
18,S4,,NCT01295827,NCT01295827_I2,Failure of established standard medical anti-cancer therapies for a given tumor type or intolerance to such therapy.,none,0,,none,0,실패와 내성 같은 의미이기에 non-split.,0,0,,0,
19,S4,,NCT02075840,NCT02075840_E1,Participants with a previous malignancy within the past 3 years,none,0,,none,0,,0,0,,0,
20,S4,,NCT02075840,NCT02075840_E4,History of organ transplant,none,0,,none,0,,0,0,,0,
21,S4,,NCT02075840,NCT02075840_I7,Measurable disease by response evaluation criteria in solid tumors (RECIST) version 1.1 (v1.1) prior to the administration of study treatment,none,0,,none,0,,0,0,,0,
22,S4,,NCT02075840,NCT02075840_I9,Negative pregnancy test for all females of child bearing potential,none,0,,none,0,,0,0,,0,
23,S4,,NCT02125461,NCT02125461_I1,Age at least 18 years.,none,0,,none,0,,0,0,,0,
24,S4,,NCT02474355,NCT02474355_E7,Mean resting corrected QT interval (QTcF) \> 470 ms using Fredericia's formula :,none,0,,none,0,,0,0,,0,
25,S4,,NCT02474355,NCT02474355_I1,Provision of signed and dated written informed consent by the patient or legally acceptable representative prior to any study-specific procedures,none,0,,none,0,,0,0,,0,
26,S4,,NCT02912949,NCT02912949_E1,Pregnant or lactating;,composite_split,2,,composite_split,2,,0,0,enum:semicolon,0,
27,S4,,NCT02912949,NCT02912949_I11,Estimated glomerular filtration rate (GFR) of more than 30 mL/min,none,0,,none,0,,0,0,,0,
28,S4,,NCT02912949,NCT02912949_I14,Fertile patients must use effective contraception during and for 6 month after completion of study therapy;,none,0,,none,0,,0,0,enum:semicolon,0,
29,S4,,NCT02912949,NCT02912949_I2,Performance status of ECOG 0 - 2;,none,0,,none,0,,0,0,enum:semicolon,0,
30,S4,,NCT03728556,NCT03728556_E13,History of organ transplantation.,none,0,,none,0,,0,0,,0,
31,S4,,NCT03728556,NCT03728556_I5,Platinum-containing chemotherapy.,none,0,,none,0,,0,0,,0,
32,S4,,NCT03800134,NCT03800134_E12,"Patients whose planned surgery at enrollment includes any of the following procedures: pneumonectomy, segmentectomies, or wedge resections",macro_aggregate,3,,macro_aggregate,3,노션 가이드라인에 따르면 이 내용은 모두 하나의 기록지에서 판단할 거 같긴 하지만... 각 해당하는 수술이 있는지 각각 검색할것으로 생각되어 macro로 3개로 split함. 어렵다,0,0,,0,
33,S4,,NCT03800134,NCT03800134_E4,History of active primary immunodeficiency,none,0,,none,0,,0,0,,0,
34,S4,,NCT03800134,NCT03800134_I1,Age ≥18 years,none,0,,none,0,,0,0,,0,
35,S4,,NCT03800134,NCT03800134_I3,World Health Organization (WHO)/ECOG PS of 0 or 1 at enrollment,none,0,,none,0,,0,0,,0,
36,S4,,NCT05756153,NCT05756153_E1,With clinically significant cardiovascular diseases.,none,0,,none,0,,0,0,,0,
37,S4,,NCT05756153,NCT05756153_E2,With active central nervous system (CNS) metastases and/or carcinomatous meningitis.,composite_split,2,,composite_split,2,,0,0,,0,
38,S4,,NCT05756153,NCT05756153_E9,With known allergies to the study drugs or components.,none,0,,none,0,,0,0,,0,
39,S4,,NCT05756153,NCT05756153_I4,Life expectancy \> 3 months judged by the investigator.,none,0,,none,0,,0,0,,0,
40,S4,,NCT05756153,NCT05756153_I7,Have sufficient organ functions.,none,0,,none,0,,0,0,,0,
41,S1,persist,NCT02474355,NCT02474355_I6,"Adequate bone marrow reserve and organ function as demonstrated by complete blood count, biochemistry in blood and urine at baseline (please refer to IB for guidance)",none,0,,macro_aggregate,3,,1,1,umb:adequate,1,
42,S1,persist,NCT05756153,NCT05756153_E6,"With uncontrolled systemic diseases, such as hypertension or diabetes.",none,0,,macro_aggregate,2,,1,1,umb:such as; umb:uncontrolled,1,
43,S1,persist,NCT01295827,NCT01295827_E6,"Risk factors for bowel obstruction or bowel perforation (including a history of acute diverticulitis, intra-abdominal abscess, abdominal carcinomatosis).",none,0,진단명 예시 -> macro로 split 하지 않음,macro_aggregate,3,,1,1,umb:\bincluding\b; umb:risk factors,0,
44,S1,persist,NCT01295827,NCT01295827_I3,"In Parts B, C, D, or F of the study, MEL or NSCLC must be measurable by imaging.",none,0,,composite_split,2,MEL or NSCLC 이면서 measured 해야 하기 때문에 AND 조건으로 질환/measure여부로 나눔.,1,1,dx:NSCLC; enum:commas=4; enum:or=2,0,
45,S1,persist,NCT01295827,NCT01295827_I4,"In Part F of the study, NSCLC with PD-L1 gene expression.",none,0,,composite_split,2,,1,1,dx:NSCLC; bm:\bPD-L1,0,
46,S1,persist,NCT02075840,NCT02075840_E10,Pregnancy or lactation,none,0,,composite_split,2,,1,1,,0,
47,S1,persist,NCT02075840,NCT02075840_E5,Co-administration of anti-cancer therapies other than those administered in this study,nested_exception,1,,none,0,,1,1,umb:other than,0,
48,S1,persist,NCT02075840,NCT02075840_E7,Recipient of strong/potent cytochrome P4503A inhibitors or inducers within 14 days prior to the first dose until the end of study treatment,composite_split,2,,none,0,"inhibitor, inducer 나눠야 할 거 같은데 문장 다듬으면 안될 거 같아서 그냥 유지",1,1,,0,
49,S1,persist,NCT02125461,NCT02125461_E2,Active or prior autoimmune disease or history of immunodeficiency.,none,0,,composite_split,2,,1,1,enum:or=2,0,
50,S1,persist,NCT02474355,NCT02474355_E10,Any unresolved toxicity from prior therapy CTCAE \> grade 3 at the time of starting treatment,composite_split,1,,none,0,,1,1,,0,"EHJ:T0_COMPOSITE_LT2_CHILDREN,T0_COMPOSITE_NULL_CHILD_LOGIC"
51,S1,persist,NCT02474355,NCT02474355_E11,History of hypersensitivity to excipients of AZD9291 or to drugs with a similar chemical structure or class to AZD9291,none,0,,composite_split,2,,1,1,enum:or=2,0,
52,S1,persist,NCT02474355,NCT02474355_E2,Patients currently receiving (or unable to stop use at least 1 week prior to receiving the first dose of AZD9291) any treatment known to be potent inhibitors or inducers of cytochrome P450 (CYP) 3A4,none,0,,composite_split,2,,1,1,enum:or=2,0,
53,S1,persist,NCT02474355,NCT02474355_E9,Any factors that increase the risk of QTc prolongation or risk of arrhythmic events,none,0,,composite_split,2,,1,1,umb:any factors,0,
54,S1,persist,NCT02912949,NCT02912949_E2,Presence of an active uncontrolled infection or an unexplained fever;,none,0,,composite_split,2,,1,1,umb:uncontrolled; enum:semicolon,0,
55,S1,persist,NCT03728556,NCT03728556_E11,Known history of human immunodeficiency virus (HIV) infection and/or acquired immune deficiency syndrome.,none,0,current(active)/history 구분하지 않음,composite_split,2,,1,1,,0,
56,S1,persist,NCT03800134,NCT03800134_E2,"Active or prior documented autoimmune or inflammatory disorders (including inflammatory bowel disease, diverticulitis, systemic lupus erythematosus, Sarcoidosis syndrome, or Wegener syndrome)",none,0,,composite_split,2,,1,1,umb:\bincluding\b; enum:commas=4; enum:or=3,0,
57,S1,persist,NCT03800134,NCT03800134_E9,"Stage IIIB N3 and Stages IIIC, IVA, and IVB NSCLC",none,0,staging report 한 번 확인 -> 단일 판정,composite_split,2,,1,1,dx:NSCLC,0,
58,S1,persist,NCT03800134,NCT03800134_I9,"Planned surgery must comprise lobectomy, sleeve resection, or bilobectomy",none,0,,composite_split,3,,1,1,,0,
59,S1,persist,NCT02474355,NCT02474355_E3,"Any evidence of severe or uncontrolled systemic diseases, including uncontrolled hypertension, active bleeding diatheses, active infection including hepatitis B, hepatitis C, and human immunodeficiency virus, or significantly impaired bone marrow reserve or organ function, including hepatic and renal impairment, which in the investigator's opinion would significantly alter the risk/benefit balance.",composite_split,2,,macro_aggregate,4,,0,1,umb:\bincluding\b; umb:evidence of; umb:uncontrolled; enum:commas=8; enum:or=3,0,
60,S1,persist,NCT02474355,NCT02474355_E5,"Past medical history of ILD, drug-induced ILD, radiation pneumonitis requiring steroid treatment, or any evidence of clinically active ILD",macro_aggregate,4,,composite_split,4,,0,1,umb:evidence of; enum:commas=3,0,
61,S1,persist,NCT05756153,NCT05756153_E5,"With uncontrollable or symptomatic pleural effusion, ascites, or pericardial effusion.",macro_aggregate,3,,composite_split,3,,0,1,enum:or=2,0,
62,S1,new,NCT02125461,NCT02125461_I3,Patients must have received at least 2 cycles of platinum-based chemotherapy concurrent with radiation therapy.,none,0,,composite_split,2,,1,1,,0,
63,S1,new,NCT02912949,NCT02912949_I6,Recovery from major surgery or other complication to ≤ Grade 2 or baseline ;,none,0,,composite_split,2,,1,1,enum:or=2; enum:semicolon,0,
64,S1,new,NCT02912949,NCT02912949_I7,Absolute neutrophil count ≥1.5 x 109/L without colony stimulating factor support for at least 7 days prior to screening;,none,0,,composite_split,2,,1,1,enum:semicolon,0,
65,S1,new,NCT02912949,NCT02912949_I8,Platelets ≥75 x 109/L without transfusion support for at least 7 days prior to screening;,none,0,,composite_split,2,,1,1,enum:semicolon,0,
66,S1,new,NCT03728556,NCT03728556_E1,Histologically identified to have mixed small cell lung cancer component.,none,0,,composite_split,2,,1,1,dx:histologic,0,
67,S1,new,NCT03728556,NCT03728556_E7,Subjects with current active autoimmune disease or prior history of autoimmune disease that probably will relapse or at risk of having these conditions.,none,0,,composite_split,2,,1,1,enum:or=2,0,
68,S1,new,NCT03728556,NCT03728556_I1,"Willing to participate in this trial; fully understand and informed of this trial, and able to provide written informed consent form (ICF).",none,0,,composite_split,3,,1,1,enum:semicolon,0,
69,S1,new,NCT03800134,NCT03800134_I6,Adequate organ and marrow function,none,0,,composite_split,2,,1,1,umb:adequate,0,
70,S1,new,NCT05756153,NCT05756153_I8,With toxicities left from prior anti-tumor therapy resolved to baseline or CTCAE Grade 1 (neurotoxicity or alopecia ≤ Grade 2).,none,0,,composite_split,2,"문장 재구성이 조금 된 거 같긴하지만 기준이 1,2로 상이하기 때문에 스플릿함.",1,1,enum:or=2,0,
71,S1,new,NCT02125461,NCT02125461_E3,"Evidence of severe or uncontrolled systemic diseases, including active bleeding diatheses or active infections including hepatitis B, C and HIV.",macro_aggregate,2,,composite_split,2,,0,1,umb:\bincluding\b; umb:evidence of; umb:uncontrolled; enum:or=2,0,DYK:T0_COMPOSITE_NULL_CHILD_LOGIC
72,S1,new,NCT02474355,NCT02474355_I8,"Female patients of childbearing potential must be using adequate contraceptive measures, must not be breast feeding, and must have a negative pregnancy test prior to start of dosing. Otherwise, they must have evidence of nonchildbearing potential",composite_split,2,,nested_exception,1,,0,1,umb:evidence of; umb:adequate; enum:commas=3,0,
73,S1,new,NCT02912949,NCT02912949_I10,"Alanine aminotransferase (ALT), aspartate aminotransferase (AST) ≤3 x upper limit of normal (ULN) and total bilirubin ≤1.5 x ULN; in cases of metastatic liver involvement, ALT/AST ≤5 x ULN and total bilirubin ≤2 x ULN will be allowed; in cases of antecedents of Gilbert's syndrome when total bilirubin ≤3.0 x ULN or direct bilirubin ≤1.5 x ULN will be allowed;",composite_split,3,,nested_exception,2,,0,1,dx:metastatic; enum:semicolon,0,
74,S1,new,NCT02912949,NCT02912949_I5,"Treatment with anti-cancer medication or investigational drugs within the following intervals before the first dose of MCLA-128: 1. more than 14 days or more than 5 half-lives prior to study entry, whichever is shorter. 2. more than 14 days for radiotherapy.",macro_aggregate,2,,composite_split,2,,0,1,enum:or=2,0,
75,S2,,NCT01295827,NCT01295827_E1,"Chemotherapy, radioactive, or biological cancer therapy within 4 weeks prior to the first dose of study therapy, or not recovered to Common Terminology Criteria for Adverse Events (CTCAE) Grade 1 or better from the adverse events caused by therapy administered more than 4 weeks prior to first dose.",composite_split,2,,composite_split,2,,0,0,enum:commas=3; enum:or=3,0,
76,S2,,NCT01295827,NCT01295827_E10,"Active autoimmune disease or a documented history of autoimmune disease or syndrome that requires systemic steroids or immunosuppressive agents, except vitiligo or resolved childhood asthma/atopy.",nested_exception,1,,nested_exception,1,,0,0,enum:or=4,0,
77,S2,,NCT01295827,NCT01295827_E14,Regular use of illicit drugs or a recent history (within the last year) of substance abuse (including alcohol).,composite_split,2,,composite_split,2,,0,0,umb:\bincluding\b,0,
78,S2,,NCT01295827,NCT01295827_E16,"Participant is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the study.",composite_split,2,,composite_split,3,Participant is pregnant,0,1,enum:or=3,0,
79,S2,,NCT01295827,NCT01295827_E7,"History of a hematologic malignancy, malignant primary brain tumor, malignant sarcoma, or another malignant primary solid tumor, unless no evidence of that disease for 5 years.",nested_exception,1,,nested_exception,1,,0,0,umb:evidence of; enum:commas=4,0,
80,S2,,NCT01295827,NCT01295827_I1,"In Part A: Histological or cytological diagnosis of MEL or any type of carcinoma, progressive metastatic disease, or progressive locally advanced disease not amenable to local therapy. In Parts B and D of the study, histological or cytological diagnoses of metastatic MEL with progressive locally advanced or metastatic disease. In Parts C and F, histological or cytological diagnosis of NSCLC. In Part F1, participants with Stage IV NSCLC without prior systemic therapy may be eligible.",composite_split,3,,composite_split,4,,0,1,"dx:histologic; dx:cytologic; dx:stage\s+(?:I{1,3}V?|IV)\b; dx:locally advanced; dx:metastatic; dx:NSCLC; enum:commas=5; enum:or=6",0,
81,S2,,NCT01295827,NCT01295827_I6,Adequate organ function.,none,0,,none,0,,0,0,umb:adequate,0,
82,S2,,NCT01295827,NCT01295827_I8,"Female participants of childbearing potential must be willing to use adequate contraception from study start, through the course of the study, and for 120 days after the last dose of study medication",none,0,,none,0,,0,0,umb:adequate,0,
83,S2,,NCT01295827,NCT01295827_I9,Male participants of childbearing potential must agree to use adequate contraception from the first dose of study medication through 120 days after the last dose of study medication,none,0,,none,0,,0,0,umb:adequate,0,
84,S2,,NCT02075840,NCT02075840_E11,"Any clinically significant disease or condition (or history of) that could interfere with, or for which the treatment might interfere with, the conduct of the study or the absorption of oral medications or that would, in the opinion of the principal investigator, pose an unacceptable risk to the participant in this study",composite_split,3,,composite_split,3,,0,1,enum:commas=4; enum:or=5,0,
85,S2,,NCT02075840,NCT02075840_E12,"Any psychological, familial, sociological, or geographical condition potentially hampering compliance with the study protocol requirements and/or follow-up procedures; those conditions should be discussed with the participant before trial entry",none,0,,none,0,각각 나누면 문장 다듬어야해서 그냥 하나로 유지,0,0,enum:commas=3; enum:or=2; enum:semicolon,0,
86,S2,,NCT02075840,NCT02075840_E3,"National cancer institute common terminology criteria for adverse events (NCI CTCAE) (version 4.0) Grade 3 or higher toxicities due to any prior therapy (e.g., radiotherapy) (excluding alopecia)",nested_exception,1,,nested_exception,1,,0,0,umb:e\.g\.,0,
87,S2,,NCT02075840,NCT02075840_I1,Histologically or cytologically confirmed diagnosis of advanced or recurrent (Stage IIIB not amenable for multimodality treatment) or metastatic (Stage IV) NSCLC that is ALK-positive as assessed by the Ventana immunohistochemistry (IHC) test,composite_split,4,advanced / recurrent / metastatic 은 stage 2에서 분리,composite_split,2,,0,1,"dx:histologic; dx:cytologic; dx:stage\s+(?:I{1,3}V?|IV)\b; dx:metastatic; dx:NSCLC; bm:\bALK\b; enum:or=3",0,
88,S2,,NCT02075840,NCT02075840_I4,Participants with no prior systemic treatment for advanced or recurrent (Stage IIIB not amenable for multimodality treatment) or metastatic (Stage IV) NSCLC,none,0,Stage IIIB (not amenable for multimodality) + Stage IV → 동일한 first-line systemic therapy  --> 나누지 않음,none,0,,0,0,"dx:stage\s+(?:I{1,3}V?|IV)\b; dx:metastatic; dx:NSCLC; enum:or=2",0,
89,S2,,NCT02075840,NCT02075840_I5,"Adequate renal, and hematologic function",composite_split,2,,composite_split,2,,0,0,umb:adequate,0,
90,S2,,NCT02125461,NCT02125461_E1,Prior exposure to any anti-PD-1 or anti-PD-L1 antibody.,composite_split,2,,composite_split,2,,0,0,bm:\bPD-L1,0,
91,S2,,NCT02125461,NCT02125461_E4,"Evidence of uncontrolled illness such as symptomatic congestive heart failure, uncontrolled hypertension or unstable angina pectoris.",macro_aggregate,3,,macro_aggregate,3,,0,0,umb:such as; umb:evidence of; umb:uncontrolled,0,
92,S2,,NCT02474355,NCT02474355_I3,"Locally advanced (stage IIIB) or metastatic (stage IV) EGFRm NSCLC, not amenable to curative surgery or radiotherapy, with confirmation of the presence of the T790M mutation",composite_split,5,,composite_split,5,,0,1,"dx:stage\s+(?:I{1,3}V?|IV)\b; dx:locally advanced; dx:metastatic; dx:NSCLC; bm:\bEGFR; bm:\bT790M; bm:mutation; enum:or=2",0,
93,S2,,NCT02474355,NCT02474355_I4,Prior therapy with an EGFR-TKI. Patients may have also received additional lines of treatment,none,0,,none,0,,0,0,bm:\bEGFR,0,
94,S2,,NCT02912949,NCT02912949_E7,"Presence of LVEF below 50% on the screening echocardiogram; or history or presence of any significant cardiovascular disease, including unstable angina or myocardial infarction within 12 months prior to screening, congestive heart failure (NYHA Class III or IV), or ventricular arrhythmia requiring medication;",composite_split,3,,composite_split,4,,0,1,umb:\bincluding\b; enum:commas=3; enum:or=5; enum:semicolon,0,
95,S2,,NCT02912949,NCT02912949_E8,Previous or concurrent malignancy (excluding non-basal cell carcinoma of skin or carcinoma in situ of the uterine cervix) unless the tumor was treated with curative intent more than 2 years prior to study entry;,nested_exception,1,,nested_exception,1,,0,0,enum:or=2; enum:semicolon,0,
96,S2,,NCT02912949,NCT02912949_E9,"Presence of any other medical or psychological condition deemed by the Investigator to be likely to interfere with a patient ability to sign informed consent, cooperate or participate in the study, or interfere with the interpretation of the results.",none,0,,none,0,"결국 연구자가 판단하는 그러한 질환/상태가 있는 경우를 의미하기에, non-split",0,0,enum:or=3,0,
97,S2,,NCT02912949,NCT02912949_I15,"Patients must have received prior standard therapy appropriate for their tumor type and stage of disease, or in the opinion of the Investigator, would be unlikely to tolerate or derive clinically meaningful benefit from appropriate standard of care therapy or no satisfactory alternative treatment options are available;",composite_split,3,,composite_split,3,,0,0,enum:or=3; enum:semicolon,0,
98,S2,,NCT02912949,NCT02912949_I16,"Locally-advanced unresectable or metastatic solid tumor malignancy with documented NRG1 gene fusion, identified through molecular assays such as next generation sequencing-based assays \[DNA or RNA\], as routinely performed at CLIA or other similarly-certified laboratories.",composite_split,2,,composite_split,2,unresectable 분리하면 문장 구조가 복잡해질거같아서 이건 유지함.,0,0,dx:metastatic; dx:unresectable; bm:\bNRG1; umb:such as; enum:or=3,0,
99,S2,,NCT03728556,NCT03728556_E8,"Immune deficient disease or systemic corticosteroid treatment within 7 days prior to the first dose of investigational product, or any other form of immune suppressing treatment.",composite_split,3,,composite_split,3,,0,0,enum:or=2,0,
100,S2,,NCT03728556,NCT03728556_I10,Subjects must have adequate organ function as assessed in the following laboratory tests.,none,0,,none,0,아래 조건이 있어야하는거 같은데 빠진듯..,0,0,umb:adequate,0,
101,S2,,NCT03728556,NCT03728556_I4,The first dose of CS1001 will be administered within 1 - 42 days (including 42 days) after concurrent/sequential chemoradiotherapy is completed.,none,0,,none,0,,0,0,umb:\bincluding\b,0,
102,S2,,NCT03800134,NCT03800134_E13,Patients with a documented test result confirming the presence of EGFRm or ALK translocation,composite_split,2,,composite_split,2,,0,1,bm:\bEGFR; bm:\bALK\b,0,
103,S2,,NCT03800134,NCT03800134_E5,"Active infection including tuberculosis hepatitis B and C, or human immunodeficiency virus",macro_aggregate,4,,macro_aggregate,4,,0,0,umb:\bincluding\b,0,
104,S2,,NCT03800134,NCT03800134_E6,Deemed unresectable NSCLC by multidisciplinary evaluation,none,0,,none,0,"resectability와 NSCLC 구분해야하지만, 이건 이 전체가 한 문장인 것으로 해석해야할거같아서 ..non split.",0,0,dx:unresectable; dx:NSCLC,0,
105,S2,,NCT03800134,NCT03800134_I2,"Newly diagnosed and previously untreated patients with histologically or cytologically documented NSCLC with resectable (Stage IIA to select [ie, N2] Stage IIIB) disease",composite_split,5,,composite_split,5,,0,1,dx:histologic; dx:cytologic; dx:\bresectable; dx:NSCLC,0,
106,S2,,NCT03800134,NCT03800134_I7,Confirmation of a patient's tumour PD-L1 status,none,0,,none,0,,0,0,bm:\bPD-L1,0,
107,S2,,NCT03800134,NCT03800134_I8,Provision of sufficient tumour biopsy sample for evaluation and confirmation of EGFR and ALK status,none,0,,none,0,,0,0,bm:\bEGFR; bm:\bALK\b,0,
108,S2,,NCT05756153,NCT05756153_E7,Prior treatment with an inhibitor specific to KRAS G12C.,none,0,,none,0,,0,0,bm:\bKRAS,0,
109,S2,,NCT05756153,NCT05756153_I5,Have histologically or cytologically confirmed advanced KRAS G12C-mutated NSCLC.,composite_split,4,,composite_split,4,,0,1,dx:histologic; dx:cytologic; dx:NSCLC; bm:\bKRAS; bm:mutated,0,
110,S3,,NCT03728556,NCT03728556_E14,Subjects with known history of alcoholism or drugs abuse.,composite_split,2,,composite_split,2,,0,1,,0,
111,S3,,NCT03728556,NCT03728556_I11,Women of childbearing potential or fertile men must agree to use an effective method of birth control from providing signed ICF and for 180 days after last dose of investigational product. Women of childbearing potential include premenopausal women and women whose menopause started within prior 2 years. Women of childbearing potential must have a negative pregnancy test ≤7 days prior to the first dose of experimental drug.,composite_split,3,,composite_split,2,,0,1,,0,
112,S3,,NCT03728556,NCT03728556_I9,"Subject with prior anti-cancer treatment can only be enrolled when all toxicities except for hearing loss, alopecia and fatigue, of prior anti-cancer treatment has recovered to baseline or ≤ Grade 1 (according to National Cancer Institute \[NCI\] Common Terminology Criteria for Adverse Events \[CTCAE\] v4.03).",nested_exception,1,,nested_exception,1,,0,1,,0,
113,S3,,NCT03800134,NCT03800134_E8,Patients who have brain metastases or spinal cord compression,composite_split,2,,composite_split,2,,0,1,,0,
